"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 28 08:28:31 UTC 2025","Wed May 28 08:28:31 UTC 2025","242","Automation","Packaging App","Create Crates (Center) Bad Quality","","","Edit Crate (Substraction)",""
"passed","Wed May 28 08:28:36 UTC 2025","Wed May 28 08:28:37 UTC 2025","731","Automation","Packaging App","Ease Delivery","","","Create ND-Reattempt Order",""
"failed","Wed May 28 08:28:23 UTC 2025","Wed May 28 08:28:23 UTC 2025","250","Automation","Packaging App","Token Generation","","","OTP",""
"failed","Wed May 28 08:28:28 UTC 2025","Wed May 28 08:28:29 UTC 2025","247","Automation","Packaging App","Create Crates (Center) Expired","","","Create Crate (Dynamic)",""
"passed","Wed May 28 08:28:34 UTC 2025","Wed May 28 08:28:34 UTC 2025","244","Automation","Packaging App","Crate Destruction","","","Crate Destruction",""
"failed","Wed May 28 08:28:23 UTC 2025","Wed May 28 08:28:24 UTC 2025","245","Automation","Packaging App","Create Crates (Plant) OLD","","","Create crate (Single product) [Dynamic Weight]",""
"passed","Wed May 28 08:28:34 UTC 2025","Wed May 28 08:28:34 UTC 2025","236","Automation","Packaging App","Profile","","","Product Franchise Config",""
"failed","Wed May 28 08:28:30 UTC 2025","Wed May 28 08:28:30 UTC 2025","245","Automation","Packaging App","Create Crates (Center) Bad Quality","","","Create crate (Single product) [Static]",""
"failed","Wed May 28 08:28:32 UTC 2025","Wed May 28 08:28:32 UTC 2025","246","Automation","Packaging App","Create Crates (Plant) NEW","","","Create crate (Single product) [Dynamic Weight]",""
"failed","Wed May 28 08:28:30 UTC 2025","Wed May 28 08:28:30 UTC 2025","243","Automation","Packaging App","Create Crates (Center) Bad Quality","","","Create crate (Single product) [Dynamic Weight]",""
"passed","Wed May 28 08:28:29 UTC 2025","Wed May 28 08:28:29 UTC 2025","244","Automation","Packaging App","Create Crates (Center) Expired","","","Edit Crate (Addition)",""
"passed","Wed May 28 08:28:24 UTC 2025","Wed May 28 08:28:24 UTC 2025","243","Automation","Packaging App","Create Crates (Plant) OLD","","","Edit Crate (Substraction)",""
"failed","Wed May 28 08:28:25 UTC 2025","Wed May 28 08:28:26 UTC 2025","243","Automation","Packaging App","Create Crates (Center)","","","Create crate (Single product) [Static]",""
"passed","Wed May 28 08:28:27 UTC 2025","Wed May 28 08:28:27 UTC 2025","244","Automation","Packaging App","Create Crates (Center)","","","Edit Crate (Addition)",""
"failed","Wed May 28 08:28:27 UTC 2025","Wed May 28 08:28:27 UTC 2025","251","Automation","Packaging App","Create Crates (Center) Expired","","","Create crate (Single product)",""
"failed","Wed May 28 08:28:32 UTC 2025","Wed May 28 08:28:33 UTC 2025","246","Automation","Packaging App","Create Crates (Plant) NEW","","","Create crate (Multiple product) [Static]",""
"passed","Wed May 28 08:28:31 UTC 2025","Wed May 28 08:28:31 UTC 2025","241","Automation","Packaging App","Create Crates (Center) Bad Quality","","","Edit Crate (Addition)",""
"failed","Wed May 28 08:28:26 UTC 2025","Wed May 28 08:28:27 UTC 2025","251","Automation","Packaging App","Create Crates (Center)","","","QR of Crates",""
"passed","Wed May 28 08:28:34 UTC 2025","Wed May 28 08:28:34 UTC 2025","236","Automation","Packaging App","Profile","","","Profile",""
"failed","Wed May 28 08:28:28 UTC 2025","Wed May 28 08:28:28 UTC 2025","244","Automation","Packaging App","Create Crates (Center) Expired","","","Create crate (Multiple product) [Static]",""
"passed","Wed May 28 08:28:33 UTC 2025","Wed May 28 08:28:33 UTC 2025","242","Automation","Packaging App","Create Crates (Plant) NEW","","","Edit Crate (Substraction)",""
"failed","Wed May 28 08:28:31 UTC 2025","Wed May 28 08:28:31 UTC 2025","244","Automation","Packaging App","Create Crates (Center) Bad Quality","","","QR of Crates",""
